 *                                      
 * hydrostatic:  btemp=  6.000E+09 bden=  6.000E+09
 *          time                temp          den           ener          sdot          sneut         s-snu         ye            1-sum
      1  0.000000000000E+00  6.000000E+09  6.000000E+09  2.578649E+18  4.737647E+30  5.987815E+11  4.737647E+30  5.000000E-01  0.000000E+00
      2  3.189849763807E-19  6.000000E+09  6.000000E+09  2.578651E+18  4.737570E+30  5.987815E+11  4.737570E+30  5.000000E-01  1.110223E-16
      3  7.284980112780E-19  6.000000E+09  6.000000E+09  2.578653E+18  4.737471E+30  5.987815E+11  4.737471E+30  5.000000E-01  1.110223E-16
      4  1.415009488652E-18  6.000000E+09  6.000000E+09  2.578656E+18  4.737305E+30  5.987815E+11  4.737305E+30  5.000000E-01  2.220446E-16
      5  2.125615153299E-18  6.000000E+09  6.000000E+09  2.578659E+18  4.737134E+30  5.987815E+11  4.737134E+30  5.000000E-01  2.220446E-16
      6  2.837857506092E-18  6.000000E+09  6.000000E+09  2.578663E+18  4.736962E+30  5.987815E+11  4.736962E+30  5.000000E-01  5.551115E-16
      7  3.550267053028E-18  6.000000E+09  6.000000E+09  2.578666E+18  4.736789E+30  5.987815E+11  4.736789E+30  5.000000E-01  3.330669E-16
      8  4.262679029710E-18  6.000000E+09  6.000000E+09  2.578669E+18  4.736617E+30  5.987815E+11  4.736617E+30  5.000000E-01  2.220446E-16
      9  4.975129789256E-18  6.000000E+09  6.000000E+09  2.578673E+18  4.736445E+30  5.987815E+11  4.736445E+30  5.000000E-01 -2.220446E-16
     10  5.687631324920E-18  6.000000E+09  6.000000E+09  2.578676E+18  4.736273E+30  5.987815E+11  4.736273E+30  5.000000E-01 -2.220446E-16
     11  6.400268201875E-18  6.000000E+09  6.000000E+09  2.578679E+18  4.736101E+30  5.987815E+11  4.736101E+30  5.000000E-01 -2.220446E-16
     12  7.112871198883E-18  6.000000E+09  6.000000E+09  2.578683E+18  4.735929E+30  5.987815E+11  4.735929E+30  5.000000E-01 -6.661338E-16
     13  7.825480659565E-18  6.000000E+09  6.000000E+09  2.578686E+18  4.735757E+30  5.987815E+11  4.735757E+30  5.000000E-01 -6.661338E-16
     14  8.538071789095E-18  6.000000E+09  6.000000E+09  2.578690E+18  4.735584E+30  5.987815E+11  4.735584E+30  5.000000E-01 -6.661338E-16
     15  9.250588964756E-18  6.000000E+09  6.000000E+09  2.578693E+18  4.735412E+30  5.987815E+11  4.735412E+30  5.000000E-01 -6.661338E-16
     16  9.963291105266E-18  6.000000E+09  6.000000E+09  2.578696E+18  4.735240E+30  5.987815E+11  4.735240E+30  5.000000E-01 -1.332268E-15
     17  1.067594293696E-17  6.000000E+09  6.000000E+09  2.578700E+18  4.735068E+30  5.987815E+11  4.735068E+30  5.000000E-01 -1.110223E-15
     18  1.139603245599E-17  6.000000E+09  6.000000E+09  2.578703E+18  4.734894E+30  5.987815E+11  4.734894E+30  5.000000E-01 -1.110223E-15
