 *                                      
 * hydrostatic:  btemp=  6.000E+09 bden=  6.000E+09
 *          time                pos           vel           temp          den           pres          ener          entr          cs
      1  0.000000000000E+00  0.000000E+00  0.000000E+00  6.000000E+09  6.000000E+09  5.725724E+27  2.578649E+18  1.101206E+08  1.130838E+09
      2  3.189849763807E-19  0.000000E+00  0.000000E+00  6.000000E+09  6.000000E+09  5.725724E+27  2.578651E+18  1.101206E+08  1.130838E+09
      3  7.284980112780E-19  0.000000E+00  0.000000E+00  6.000000E+09  6.000000E+09  5.725724E+27  2.578653E+18  1.101206E+08  1.130838E+09
      4  1.415009488652E-18  0.000000E+00  0.000000E+00  6.000000E+09  6.000000E+09  5.725724E+27  2.578656E+18  1.101206E+08  1.130838E+09
      5  2.125615153299E-18  0.000000E+00  0.000000E+00  6.000000E+09  6.000000E+09  5.725724E+27  2.578659E+18  1.101206E+08  1.130838E+09
      6  2.837857506092E-18  0.000000E+00  0.000000E+00  6.000000E+09  6.000000E+09  5.725724E+27  2.578663E+18  1.101206E+08  1.130838E+09
      7  3.550267053028E-18  0.000000E+00  0.000000E+00  6.000000E+09  6.000000E+09  5.725724E+27  2.578666E+18  1.101206E+08  1.130838E+09
      8  4.262679029710E-18  0.000000E+00  0.000000E+00  6.000000E+09  6.000000E+09  5.725724E+27  2.578669E+18  1.101206E+08  1.130838E+09
      9  4.975129789256E-18  0.000000E+00  0.000000E+00  6.000000E+09  6.000000E+09  5.725724E+27  2.578673E+18  1.101206E+08  1.130838E+09
     10  5.687631324920E-18  0.000000E+00  0.000000E+00  6.000000E+09  6.000000E+09  5.725724E+27  2.578676E+18  1.101206E+08  1.130838E+09
     11  6.400268201875E-18  0.000000E+00  0.000000E+00  6.000000E+09  6.000000E+09  5.725724E+27  2.578679E+18  1.101206E+08  1.130838E+09
     12  7.112871198883E-18  0.000000E+00  0.000000E+00  6.000000E+09  6.000000E+09  5.725724E+27  2.578683E+18  1.101206E+08  1.130838E+09
     13  7.825480659565E-18  0.000000E+00  0.000000E+00  6.000000E+09  6.000000E+09  5.725724E+27  2.578686E+18  1.101206E+08  1.130838E+09
     14  8.538071789095E-18  0.000000E+00  0.000000E+00  6.000000E+09  6.000000E+09  5.725724E+27  2.578690E+18  1.101206E+08  1.130838E+09
     15  9.250588964756E-18  0.000000E+00  0.000000E+00  6.000000E+09  6.000000E+09  5.725724E+27  2.578693E+18  1.101206E+08  1.130838E+09
