 *                                      
 * hydrostatic:  btemp=  6.000E+09 bden=  6.000E+09
 *          time                he4           c12           o16           ne20          mg24          si28          s32           ar36 
      1  0.000000000000E+00  4.000000E-30  1.000000E+00  1.600000E-29  2.000000E-29  2.400000E-29  2.800000E-29  3.200000E-29  3.600000E-29
      2  3.189849763807E-19  1.356662E-06  9.999919E-01  1.475416E-14  6.783307E-06  3.808333E-18  9.293715E-22  3.200010E-29  3.600000E-29
      3  7.284980112780E-19  3.098313E-06  9.999814E-01  7.695295E-14  1.549156E-05  4.536312E-17  1.107022E-20  3.200651E-29  3.600000E-29
      4  1.415009488652E-18  6.017952E-06  9.999639E-01  2.903207E-13  3.008974E-05  3.324183E-16  8.112163E-20  3.217989E-29  3.600000E-29
      5  2.125615153299E-18  9.039952E-06  9.999458E-01  6.551174E-13  4.519973E-05  1.126807E-15  2.749790E-19  3.337600E-29  3.600000E-29
      6  2.837857506092E-18  1.206880E-05  9.999276E-01  1.167674E-12  6.034398E-05  2.681365E-15  6.543413E-19  3.783620E-29  3.600000E-29
      7  3.550267053028E-18  1.509825E-05  9.999094E-01  1.827481E-12  7.549122E-05  5.249960E-15  1.281158E-18  4.988400E-29  3.600000E-29
      8  4.262679029710E-18  1.812760E-05  9.998912E-01  2.634429E-12  9.063797E-05  9.086770E-15  2.217453E-18  7.662267E-29  3.600000E-29
      9  4.975129789256E-18  2.115701E-05  9.998731E-01  3.588563E-12  1.057850E-04  1.444653E-14  3.525388E-18  1.286378E-28  3.600000E-29
     10  5.687631324920E-18  2.418652E-05  9.998549E-01  4.689917E-12  1.209325E-04  2.158407E-14  5.267142E-18  2.206970E-28  3.600000E-29
     11  6.400268201875E-18  2.721650E-05  9.998367E-01  5.938669E-12  1.360824E-04  3.075546E-14  7.505200E-18  3.724720E-28  3.600000E-29
     12  7.112871198883E-18  3.024622E-05  9.998185E-01  7.334544E-12  1.512310E-04  4.221348E-14  1.030124E-17  6.091625E-28  3.600000E-29
     13  7.825480659565E-18  3.327586E-05  9.998003E-01  8.877604E-12  1.663792E-04  5.621317E-14  1.371750E-17  9.622748E-28  3.600000E-29
     14  8.538071789095E-18  3.630532E-05  9.997822E-01  1.056778E-11  1.815265E-04  7.300844E-14  1.781593E-17  1.470262E-27  3.600000E-29
     15  9.250588964756E-18  3.933434E-05  9.997640E-01  1.240490E-11  1.966716E-04  9.285184E-14  2.265814E-17  2.179181E-27  3.600000E-29
     16  9.963291105266E-18  4.236405E-05  9.997458E-01  1.438967E-11  2.118201E-04  1.160057E-13  2.830816E-17  3.143850E-27  3.600000E-29
     17  1.067594293696E-17  4.539343E-05  9.997276E-01  1.652145E-11  2.269670E-04  1.427179E-13  3.482644E-17  4.427604E-27  3.600000E-29
     18  1.139603245599E-17  4.845431E-05  9.997093E-01  1.882493E-11  2.422714E-04  1.735838E-13  4.235829E-17  6.123698E-27  3.600000E-29
     19  1.215060542363E-17  5.166165E-05  9.996900E-01  2.139990E-11  2.583081E-04  2.103924E-13  5.134020E-17  8.425467E-27  3.600000E-29
     20  1.294700349711E-17  5.504664E-05  9.996697E-01  2.429651E-11  2.752331E-04  2.545256E-13  6.210939E-17  1.156066E-26  3.600000E-29
     21  1.378830221711E-17  5.862232E-05  9.996483E-01  2.755597E-11  2.931115E-04  3.074275E-13  7.501821E-17  1.582506E-26  3.600000E-29
