 *                                      
 * hydrostatic:  btemp=  6.000E+09 bden=  6.000E+09
 *          time                ca40          ti44          cr48          fe52          ni56 
      1  0.000000000000E+00  4.000000E-29  4.400000E-29  4.800000E-29  5.200000E-29  5.600000E-29
      2  3.189849763807E-19  4.000000E-29  4.400000E-29  4.800000E-29  5.200000E-29  5.600000E-29
      3  7.284980112780E-19  4.000000E-29  4.400000E-29  4.800000E-29  5.200000E-29  5.600000E-29
      4  1.415009488652E-18  4.000000E-29  4.400000E-29  4.800000E-29  5.200000E-29  5.600000E-29
      5  2.125615153299E-18  4.000000E-29  4.400000E-29  4.800000E-29  5.200000E-29  5.600000E-29
      6  2.837857506092E-18  4.000000E-29  4.400000E-29  4.800000E-29  5.200000E-29  5.600000E-29
      7  3.550267053028E-18  4.000000E-29  4.400000E-29  4.800000E-29  5.200000E-29  5.600000E-29
      8  4.262679029710E-18  4.000000E-29  4.400000E-29  4.800000E-29  5.200000E-29  5.600000E-29
      9  4.975129789256E-18  4.000000E-29  4.400000E-29  4.800000E-29  5.200000E-29  5.600000E-29
     10  5.687631324920E-18  4.000000E-29  4.400000E-29  4.800000E-29  5.200000E-29  5.600000E-29
     11  6.400268201875E-18  4.000000E-29  4.400000E-29  4.800000E-29  5.200000E-29  5.600000E-29
     12  7.112871198883E-18  4.000000E-29  4.400000E-29  4.800000E-29  5.200000E-29  5.600000E-29
     13  7.825480659565E-18  4.000000E-29  4.400000E-29  4.800000E-29  5.200000E-29  5.600000E-29
     14  8.538071789095E-18  4.000000E-29  4.400000E-29  4.800000E-29  5.200000E-29  5.600000E-29
     15  9.250588964756E-18  4.000000E-29  4.400000E-29  4.800000E-29  5.200000E-29  5.600000E-29
     16  9.963291105266E-18  4.000000E-29  4.400000E-29  4.800000E-29  5.200000E-29  5.600000E-29
     17  1.067594293696E-17  4.000000E-29  4.400000E-29  4.800000E-29  5.200000E-29  5.600000E-29
     18  1.139603245599E-17  4.000000E-29  4.400000E-29  4.800000E-29  5.200000E-29  5.600000E-29
     19  1.215060542363E-17  4.000000E-29  4.400000E-29  4.800000E-29  5.200000E-29  5.600000E-29
     20  1.294700349711E-17  4.000000E-29  4.400000E-29  4.800000E-29  5.200000E-29  5.600000E-29
     21  1.378830221711E-17  4.000000E-29  4.400000E-29  4.800000E-29  5.200000E-29  5.600000E-29
     22  1.467648601821E-17  4.000000E-29  4.400000E-29  4.800000E-29  5.200000E-29  5.600000E-29
     23  1.561392346581E-17  4.000000E-29  4.400000E-29  4.800000E-29  5.200000E-29  5.600000E-29
     24  1.660213996417E-17  4.000000E-29  4.400000E-29  4.800000E-29  5.200000E-29  5.600000E-29
     25  1.764422757123E-17  4.000000E-29  4.400000E-29  4.800000E-29  5.200000E-29  5.600000E-29
     26  1.874236990614E-17  4.000000E-29  4.400000E-29  4.800000E-29  5.200000E-29  5.600000E-29
     27  1.989890036030E-17  4.000000E-29  4.400000E-29  4.800000E-29  5.200000E-29  5.600000E-29
     28  2.111648929537E-17  4.000000E-29  4.400000E-29  4.800000E-29  5.200000E-29  5.600000E-29
     29  2.239812732653E-17  4.000000E-29  4.400000E-29  4.800000E-29  5.200000E-29  5.600000E-29
     30  2.374598530524E-17  4.000000E-29  4.400000E-29  4.800000E-29  5.200000E-29  5.600000E-29
     31  2.516310217108E-17  4.000000E-29  4.400000E-29  4.800000E-29  5.200000E-29  5.600000E-29
     32  3.187954782754E-17  4.000000E-29  4.400000E-29  4.800000E-29  5.200000E-29  5.600000E-29
     33  9.904400439214E-17  4.000001E-29  4.400000E-29  4.800000E-29  5.200000E-29  5.600000E-29
     34  7.706885700382E-16  4.298738E-29  4.400000E-29  4.800003E-29  5.200009E-29  5.600011E-29
     35  5.946943305213E-15  2.767521E-22  1.241791E-27  4.805046E-29  5.200496E-29  5.600632E-29
     36  2.034232549379E-14  2.586350E-17  9.943562E-22  3.618112E-25  1.482783E-28  5.607340E-29
     37  4.931779532134E-14  6.796553E-14  1.124981E-17  1.761970E-20  2.018355E-23  1.118385E-26
     38  8.686453927394E-14  6.528906E-12  2.540598E-15  9.349028E-18  2.515857E-20  3.258390E-23
     39  1.838918873023E-13  1.422767E-09  1.539463E-12  1.574838E-14  1.178995E-16  4.251195E-19
     40  3.024360768707E-13  3.310999E-08  6.577539E-11  1.236315E-12  1.703579E-14  1.132405E-16
     41  5.924527420508E-13  1.321736E-06  5.417541E-09  2.107451E-10  6.040499E-12  8.389291E-14
     42  9.497472795872E-13  1.126405E-05  7.092184E-08  4.254853E-09  1.891804E-10  4.096612E-12
     43  1.705660054148E-12  8.707672E-05  8.324154E-07  7.633916E-08  5.236242E-09  1.763474E-10
     44  2.776220950995E-12  2.685147E-04  3.242891E-06  3.781896E-07  3.322768E-08  1.442813E-09
     45  5.132479398787E-12  5.483072E-04  7.674250E-06  1.047926E-06  1.082808E-07  5.556643E-09
